strategy_id,regime,total_trades,winning_trades,losing_trades,win_rate,win_rate_lcb_95,avg_win_pct,avg_loss_pct,expectancy,profit_factor,total_pnl_pct,total_pnl_tao,max_drawdown_pct,sharpe_ratio,avg_hold_hours,significant,recommendation
ema_A1,DISPERSED,71,28,43,39.44,28.89,12.08,-6.98,0.5387,1.1275,7.65,0.7649,16.12,0.3515,103.4,True,NEUTRAL
ema_A1,TRENDING,290,139,151,47.93,42.25,9.05,-5.37,1.5398,1.5503,89.31,8.9309,20.33,0.9694,127.3,True,ENABLE
ema_A2,DISPERSED,67,30,37,44.78,33.48,11.29,-7.26,1.0474,1.2613,14.03,1.4035,14.62,0.6799,102.4,True,NEUTRAL
ema_A2,TRENDING,221,105,116,47.51,41.03,8.5,-5.32,1.2474,1.4467,55.14,5.5137,18.48,1.019,125.3,True,ENABLE
flow,DISPERSED,24,13,11,54.17,35.07,7.16,-4.74,1.7049,1.5063,5.3,0.8749,4.55,3.1147,28.0,True,ENABLE
flow,TRENDING,74,32,42,43.24,32.57,3.28,-3.34,-0.4767,0.7304,-7.51,-1.2391,9.15,-1.9829,25.6,True,DISABLE
meanrev_F1,DISPERSED,5,1,4,20.0,3.62,0.12,-2.08,-1.6446,0.014,-1.64,-0.1028,1.67,-24.9446,24.0,False,NEUTRAL
meanrev_F1,TRENDING,18,9,9,50.0,29.03,1.05,-1.04,0.0069,1.0134,0.02,0.0016,0.82,0.0899,24.0,False,NEUTRAL
meanrev_F2,DISPERSED,7,3,4,42.86,15.82,0.72,-2.08,-0.8841,0.2579,-1.24,-0.0774,1.67,-10.1508,24.0,False,NEUTRAL
meanrev_F2,TRENDING,37,18,19,48.65,33.45,2.28,-0.85,0.6699,2.5302,4.96,0.3098,0.74,5.2255,23.4,True,ENABLE
meanrev_F3,DISPERSED,1,0,1,0.0,0.0,0.0,-1.64,-1.6437,0.0,-0.33,-0.0205,0.33,0.0,24.0,False,NEUTRAL
meanrev_F3,TRENDING,6,4,2,66.67,30.0,2.14,-0.43,1.2854,10.0477,1.54,0.0964,0.17,16.1083,24.0,False,NEUTRAL
meanrev_F4,DISPERSED,5,1,4,20.0,3.62,0.12,-2.08,-1.6446,0.014,-1.64,-0.1028,1.67,-24.9446,24.0,False,NEUTRAL
meanrev_F4,TRENDING,18,9,9,50.0,29.03,1.05,-1.04,0.0069,1.0134,0.02,0.0016,0.82,0.0899,24.0,False,NEUTRAL
meanrev_F5,DISPERSED,4,1,3,25.0,4.56,55.99,-3.7,11.225,5.049,8.98,0.5612,2.22,4.5385,60.0,False,NEUTRAL
meanrev_F5,TRENDING,18,7,11,38.89,20.3,2.11,-2.03,-0.4199,0.6613,-1.51,-0.0945,3.06,-1.7524,72.0,False,NEUTRAL
meanrev_F6,DISPERSED,5,1,4,20.0,3.62,0.12,-2.08,-1.6446,0.014,-1.64,-0.1028,1.67,-24.9446,24.0,False,NEUTRAL
meanrev_F6,TRENDING,18,9,9,50.0,29.03,1.05,-1.04,0.0069,1.0134,0.02,0.0016,0.82,0.0899,24.0,False,NEUTRAL
meanrev_F7,DISPERSED,5,1,4,20.0,3.62,0.12,-2.08,-1.6446,0.014,-1.64,-0.1028,1.67,-24.9446,24.0,False,NEUTRAL
meanrev_F7,TRENDING,18,9,9,50.0,29.03,1.05,-1.04,0.0069,1.0134,0.02,0.0016,0.82,0.0899,24.0,False,NEUTRAL
meanrev_F8,DISPERSED,5,1,4,20.0,3.62,0.12,-2.08,-1.6446,0.014,-1.64,-0.1028,1.67,-24.9446,24.0,False,NEUTRAL
meanrev_F8,TRENDING,18,9,9,50.0,29.03,1.05,-1.04,0.0069,1.0134,0.02,0.0016,0.82,0.0899,24.0,False,NEUTRAL
